state-city,start_zipcode,end_zipcode
AL-Cottondale,35453,35453
AL-Cottonton,36851,36851
AL-Cottonwood,36320,36320
AL-Courtland,35618,35618
AL-Cowarts,36321,36321
AL-Coy,36435,36435
AL-Cragford,36255,36255
AL-Crane Hill,35053,35053
AL-Creola,36525,36525
AL-Cropwell,35054,35054
AL-Crossville,35962,35962
AL-Cuba,36907,36907
AL-Cullman,35055,35058
AL-Cusseta,36852,36852
AL-Dadeville,36853,36853
AL-Daleville,36322,36322
AL-Danville,35619,35619
AL-Daphne,36526,36526
AL-Dauphin Island,36528,36528
AL-Daviston,36256,36256
AL-Dawson,35963,35963
AL-De Armanville,36257,36257
AL-Deatsville,36022,36022
AL-Decatur,35601,35699
AL-Deer Park,36529,36529
AL-Delmar,35551,35551
AL-Delta,36258,36258
AL-Demopolis,36732,36732
AL-Detroit,35552,35552
AL-Dickinson,36436,36436
AL-Dixons Mills,36736,36736
AL-Docena,35060,35060
AL-Dolomite,35061,35061
AL-Dora,35062,35062
AL-Dothan,36301,36305
AL-Double Springs,35553,35553
AL-Douglas,35964,35964
AL-Dozier,36028,36028
AL-Duncanville,35456,35456
AL-Dutton,35744,35744
AL-East Tallassee,36023,36023
AL-Eastaboga,36260,36260
AL-Echola,35457,35457
AL-Eclectic,36024,36024
AL-Edwardsville,36261,36261
AL-Eight Mile,36613,36613
AL-Elba,36323,36323
AL-Elberta,36530,36530
AL-Eldridge,35554,35554
AL-Elkmont,35620,35620
AL-Elmore,36025,36025
AL-Elrod,35458,35458
AL-Emelle,35459,35459
AL-Empire,35063,35063
AL-Enterprise,36330,36331
AL-Epes,35460,35460
AL-Equality,36026,36026
AL-Estillfork,35745,35745
AL-Ethelsville,35461,35461
AL-Eufaula,36027,36072
AL-Eutaw,35462,35462
AL-Eva,35621,35621
AL-Evergreen,36401,36401
AL-Excel,36439,36439
AL-Fackler,35746,35746
AL-Fairfield,35064,35064
AL-Fairhope,36532,36533
AL-Falkville,35622,35622
AL-Faunsdale,36738,36738
AL-Fayette,35555,35555
AL-Fitzpatrick,36029,36029
AL-Five Points,36855,36855
AL-Flat Rock,35966,35966
AL-Flomaton,36441,36441
AL-Florala,36442,36442
AL-Florence,35630,35634
AL-Foley,36535,36536
AL-Forest Home,36030,36030
AL-Forkland,36740,36740
AL-Fort Davis,36031,36031
AL-Fort Deposit,36032,36032
